,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id
10FTHF5GLUtl_pos,845.0,0.025154455765000826,0.5237583117073576,0.10864796326786542,10FTHF5GLUtl
10FTHF5GLUtm_pos,749.0,0.24761151356061917,0.15068239592241292,0.37500376387454143,10FTHF5GLUtm
10FTHF6GLUtl_pos,844.0,0.025897675477962966,0.523491350882174,0.11039876663306457,10FTHF6GLUtl
10FTHF6GLUtm_pos,758.0,0.20850473286383864,0.19857745687525724,0.34081501482370824,10FTHF6GLUtm
10FTHF7GLUtl_pos,835.0,0.033484500737904224,0.5053017676106235,0.12814919568966515,10FTHF7GLUtl
10FTHF7GLUtm_pos,757.0,0.21261466012820074,0.22046567594832364,0.3449445888624111,10FTHF7GLUtm
10FTHFtl_neg,845.0,0.025154455765000826,0.5237583117073572,0.10864796326786542,10FTHFtl
10FTHFtm_neg,823.0,0.04649531043785187,0.5502983506759976,0.1554999251337574,10FTHFtm
10FTHFtm_pos,781.0,0.12923613663721678,0.3945319451750791,0.25890807876278715,10FTHFtm
11DOCRTSLtm_pos,762.0,0.19264082733965937,0.07119859422197687,0.3263955941572917,11DOCRTSLtm
11DOCRTSLtr_neg,762.0,0.19264082733965937,0.07119859422197705,0.3263955941572917,11DOCRTSLtr
11DOCRTSTRNtm_pos,761.0,0.19652106785674572,0.07900658912561953,0.32997563680468484,11DOCRTSTRNtm
11DOCRTSTRNtr_neg,761.0,0.19652106785674572,0.07900658912562447,0.32997563680468484,11DOCRTSTRNtr
13DAMPPOX_pos,676.0,0.7393219115712091,-0.0773200694940288,0.7916547095064479,13DAMPPOX
1MNCAMti_pos,827.0,0.04175159397166802,0.30516311376350735,0.1459853753905032,1MNCAMti
1PPDCRp_pos,722.0,0.3944260853675353,0.10522570939075385,0.5054067584072242,1PPDCRp
1a25DHVITD3TRn_pos,783.0,0.12363827132914834,0.11506493262576784,0.2516275624839565,1a25DHVITD3TRn
24NPHte_neg,732.0,0.33483779989018536,0.0836696064514639,0.45653349098317575,24NPHte
24_25DHVITD2t_pos,798.0,0.08747390750763288,0.34300225699228964,0.21086019386292176,24_25DHVITD2t
24_25DHVITD2tm_pos,798.0,0.08747390750763288,0.34300225699228964,0.21086019386292176,24_25DHVITD2tm
24_25DHVITD3t_pos,779.0,0.135028898877286,0.10231013213694563,0.2664293037931957,24_25DHVITD3t
24_25DHVITD3tm_pos,775.0,0.14721397969617997,0.08264313402358371,0.27812759679518245,24_25DHVITD3tm
24_25VITD2Hm_pos,798.0,0.08747390750763288,0.34300225699228964,0.21086019386292176,24_25VITD2Hm
24_25VITD3Hm_pos,775.0,0.14721397969617997,0.08264313402358361,0.27812759679518245,24_25VITD3Hm
25HVITD3c_pos,783.0,0.12363827132914834,0.1150649326257679,0.2516275624839565,25HVITD3c
2AMACHYD_pos,682.0,0.688840047586424,0.06798440725209896,0.7465289736280731,2AMACHYD
2AMACSULT_pos,747.0,0.2569578154920653,0.14991631658453636,0.3810345641571697,2AMACSULT
2AMADPTm_pos,797.0,0.0895839697786352,0.322052236212668,0.21296152873895272,2AMADPTm
2DR1PP_pos,889.0,0.006231782545175219,0.5957731645914197,0.04691785591327196,2DR1PP
2HBO_neg,912.0,0.0027465814225172886,0.5939494215214779,0.02517378624986042,2HBO
2HBO_pos,845.0,0.025154455765000826,0.5936434230823965,0.10864796326786542,2HBO
2HBt2_neg,1071.0,1.6825294679707453e-06,1.266883508245316,0.00012354303453021147,2HBt2
2HBt2_pos,1071.0,1.6825294679707453e-06,1.266883508245316,0.00012354303453021147,2HBt2
