Unnamed: 0,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id,reaction_name,formula,associated_genes,subsystem,EC_number,confidence
2HBO_neg,912.0,0.0027465814225172,0.5939494215214779,0.0251737862498604,2HBO,2-Hydroxybutyrate:NAD+ oxidoreductase,"1.00 * 2-Hydroxybutyrate [c] + 1.00 * Nicotinamide adenine dinucleotide [c] --> 1.00 * proton [c] + 1.00 * 2-Oxobutanoate [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c]
LDHA; LDHAL6B; LDHB; LDHC; UEVLD",LDHA; LDHAL6B; LDHB; LDHC; UEVLD,Propanoate metabolism,1.1.1.27,4.0
ACACT10m_pos,937.0,0.0010500715717091,0.4836951504688411,0.0117907520981429,ACACT10m,"acetyl-CoA C-acetyltransferase, mitochondrial","1.00 * Coenzyme A [m] + 1.00 * 2-methylacetoacetyl-CoA(4-) [m] --> 1.00 * Acetyl-CoA [m] + 1.00 * Propanoyl-CoA [m]
ACAA2; ACAT1; HADHB",ACAA2; ACAT1; HADHB,"Valine, leucine, and isoleucine metabolism",2.3.1.9,4.0
ACCOAL_pos,899.0,0.004397740044049,0.6988156392900755,0.0367039989627847,ACCOAL,acetate-CoA ligase (ADP-forming),"1.00 * ATP [c] + 1.00 * Coenzyme A [c] + 1.00 * propionate [c] --> 1.00 * ADP [c] + 1.00 * hydrogenphosphate [c] + 1.00 * Propanoyl-CoA [c]
ACSS2",ACSS2,Propanoate metabolism,6.2.1.13,4.0
ACOAD10m_pos,897.0,0.0047196962133098,0.2879756416437664,0.0390420439923795,ACOAD10m,"acyl-CoA dehydrogenase (2-methylbutanoyl-CoA), mitochondrial","1.00 * 2-methylbutanoyl-CoA(4-) [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] --> 1.00 * 2-methylcrotonoyl-CoA(4-) [m] + 1.00 * Flavin adenine dinucleotide reduced [m]
ACADM; ACADSB",ACADM; ACADSB,"Valine, leucine, and isoleucine metabolism",1.3.99.12,4.0
AG13T16g_pos,918.0,0.0021953954481034,0.375743683320184,0.020913861885359,AG13T16g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus","1.00 * UDP-N-acetyl-alpha-D-glucosamine(2-) [g] + 1.00 * keratan sulfate II boisynthesis, precursor 2 [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * keratan sulfate II biosynthesis, precursor 3 [g]
B3GNT2; B3GNT3; B3GNT4; B3GNT7; B3GNT8; B3GNTL1; B4GAT1",B3GNT2; B3GNT3; B3GNT4; B3GNT7; B3GNT8; B3GNTL1; B4GAT1,Keratan sulfate synthesis,2.4.1.149,4.0
AG13T17g_pos,918.0,0.0021953954481034,0.375743683320184,0.020913861885359,AG13T17g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus","1.00 * UDP-N-acetyl-alpha-D-glucosamine(2-) [g] + 1.00 * keratan sulfate II biosynthesis, precursor 4 [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * keratan sulfate II biosynthesis, precursor 5 [g]
B3GNT2; B3GNT3; B3GNT4; B3GNT7; B3GNT8; B3GNTL1; B4GAT1",B3GNT2; B3GNT3; B3GNT4; B3GNT7; B3GNT8; B3GNTL1; B4GAT1,Keratan sulfate synthesis,2.4.1.149,4.0
AG13T18g_pos,918.0,0.0021953954481034,0.375743683320184,0.020913861885359,AG13T18g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus","1.00 * UDP-N-acetyl-alpha-D-glucosamine(2-) [g] + 1.00 * keratan sulfate II biosynthesis, precursor 7 [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * keratan sulfate II biosynthesis, precursor 8 [g]
B3GNT2; B3GNT3; B3GNT4; B3GNT7; B3GNT8; B3GNTL1; B4GAT1",B3GNT2; B3GNT3; B3GNT4; B3GNT7; B3GNT8; B3GNTL1; B4GAT1,Keratan sulfate synthesis,2.4.1.149,4.0
AG13T1g_pos,910.0,0.0029567054278194,0.3639442761177688,0.0262528124603262,AG13T1g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus","1.00 * UDP-N-acetyl-alpha-D-glucosamine(2-) [g] + 1.00 * keratan sulfate II biosynthesis, precursor 2 [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * keratan sulfate II biosynthesis, precursor 3 [g]
B3GNT2; B3GNT3; B3GNT4; B3GNT7; B3GNT8; B3GNTL1; B4GAT1",B3GNT2; B3GNT3; B3GNT4; B3GNT7; B3GNT8; B3GNTL1; B4GAT1,Keratan sulfate synthesis,2.4.1.149,4.0
AG13T2g_pos,910.0,0.0029567054278194,0.3639442761177688,0.0262528124603262,AG13T2g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus","1.00 * UDP-N-acetyl-alpha-D-glucosamine(2-) [g] + 1.00 * keratan sulfate II biosynthesis, precursor 4 [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * keratan sulfate II biosynthesis, precursor 5 [g]
B3GNT2; B3GNT3; B3GNT4; B3GNT7; B3GNT8; B3GNTL1; B4GAT1",B3GNT2; B3GNT3; B3GNT4; B3GNT7; B3GNT8; B3GNTL1; B4GAT1,Keratan sulfate synthesis,2.4.1.149,4.0
AG13T3g_pos,910.0,0.0029567054278194,0.3639442761177688,0.0262528124603262,AG13T3g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus","1.00 * UDP-N-acetyl-alpha-D-glucosamine(2-) [g] + 1.00 * keratan sulfate II biosynthesis, precursor 7 [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * keratan sulfate II biosynthesis, precursor 8 [g]
B3GNT2; B3GNT3; B3GNT4; B3GNT7; B3GNT8; B3GNTL1; B4GAT1",B3GNT2; B3GNT3; B3GNT4; B3GNT7; B3GNT8; B3GNTL1; B4GAT1,Keratan sulfate synthesis,2.4.1.149,4.0
